Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-03-12,25.59,26.0,25.5,25.97,15191100.0,0.0,1.0,10.067521580102412,10.228822238478418,10.03211411850768,10.217019751280173,15191100.0
2010-03-15,25.97,26.64,25.79,26.28,19134600.0,0.0,1.0,10.217019751280173,10.480608632040964,10.146204828090708,10.338978785662032,19134600.0
2010-03-16,26.53,26.86,26.24,26.7925,18358400.0,0.0,1.0,10.437332845647402,10.567160204828088,10.323242136064373,10.540604608632039,18358400.0
2010-03-17,26.81,27.35,26.765,26.9825,15371700.0,0.0,1.0,10.547489392831014,10.759934162399414,10.529785662033648,10.61535369422092,15371700.0
2010-03-18,27.16,27.5,26.92,27.46,12045100.0,0.0,1.0,10.685185076810532,10.818946598390635,10.590765179224578,10.803209948792976,12045100.0
2010-03-19,27.65,27.78,27.04,27.1925,21613900.0,0.0,1.0,10.877959034381856,10.92910314557425,10.637975128017555,10.69797110460863,21613900.0
2010-03-22,26.74,27.2025,26.62,27.07,13857800.0,0.0,1.0,10.519950256035111,10.701905267008046,10.472740307242134,10.649777615215799,13857800.0
2010-03-23,27.02,27.22,26.72,27.05,10942400.0,0.0,1.0,10.630106803218725,10.70879005120702,10.512081931236281,10.64190929041697,10942400.0
2010-03-24,26.98,27.19,26.86,26.94,11249700.0,0.0,1.0,10.614370153621067,10.696987564008777,10.567160204828088,10.598633504023407,11249700.0
2010-03-25,27.75,28.37,27.54,27.56,32267900.0,0.0,1.0,10.917300658376003,11.16121872713972,10.834683247988293,10.842551572787123,32267900.0
2010-03-26,27.63,27.75,27.28,27.45,11509600.0,0.0,1.0,10.870090709583026,10.917300658376003,10.73239502560351,10.79927578639356,11509600.0
2010-03-29,27.5,27.52,27.17,27.28,11331400.0,0.0,1.0,10.818946598390635,10.826814923189463,10.689119239209948,10.73239502560351,11331400.0
2010-03-30,27.48,27.5,26.94,27.14,10982000.0,0.0,1.0,10.811078273591805,10.818946598390635,10.598633504023407,10.677316752011702,10982000.0
2010-03-31,26.995,27.19,26.85,26.9675,8048100.0,0.0,1.0,10.620271397220188,10.696987564008777,10.563226042428674,10.609452450621799,8048100.0
2010-04-01,27.12,27.29,26.55,26.57,14427000.0,0.0,1.0,10.669448427212874,10.736329188002923,10.44520117044623,10.45306949524506,14427000.0
2010-04-05,26.5,27.67,26.5,27.37,12790500.0,0.0,1.0,10.425530358449157,10.885827359180686,10.425530358449157,10.767802487198242,12790500.0
2010-04-06,27.21,27.46,26.89,27.27,15392100.0,0.0,1.0,10.704855888807606,10.803209948792976,10.578962692026334,10.728460863204095,15392100.0
2010-04-07,27.0825,27.165,26.6605,26.85,17704700.0,0.0,1.0,10.654695318215067,10.687152158010239,10.488673664959764,10.563226042428674,17704700.0
2010-04-08,26.37,26.74,26.16,26.46,20022000.0,0.0,1.0,10.374386247256766,10.519950256035111,10.291768836869055,10.409793708851499,20022000.0
2010-04-09,26.45,26.61,26.28,26.5525,9537900.0,0.0,1.0,10.405859546452083,10.46880614484272,10.338978785662032,10.446184711046083,9537900.0
2010-04-12,26.64,26.79,26.51,26.63,8011100.0,0.0,1.0,10.480608632040964,10.539621068032185,10.429464520848573,10.476674469641548,8011100.0
2010-04-13,26.53,26.64,26.25,26.64,11589300.0,0.0,1.0,10.437332845647402,10.480608632040964,10.327176298463787,10.480608632040964,11589300.0
2010-04-14,26.84,27.1,26.7,27.04,14739600.0,0.0,1.0,10.55929188002926,10.661580102414044,10.504213606437451,10.637975128017555,14739600.0
2010-04-15,27.17,27.21,26.9175,26.98,14095000.0,0.0,1.0,10.689119239209948,10.704855888807606,10.589781638624723,10.614370153621067,14095000.0
2010-04-16,26.97,27.03,26.22,26.33,20394600.0,0.0,1.0,10.610435991221651,10.63404096561814,10.315373811265543,10.358649597659104,20394600.0
2010-04-19,26.2,26.38,25.75,26.32,11518700.0,0.0,1.0,10.307505486466713,10.37832040965618,10.130468178493048,10.35471543525969,11518700.0
2010-04-20,26.48,26.58,26.22,26.4,12787600.0,0.0,1.0,10.417662033650327,10.457003657644474,10.315373811265543,10.38618873445501,12787600.0
2010-04-21,26.34,26.58,25.9,26.29,26925800.0,0.0,1.0,10.36258376005852,10.457003657644474,10.18948061448427,10.342912948061446,26925800.0
2010-04-22,24.439,24.8125,23.9,24.78,56721500.0,0.0,1.0,9.614699487929771,9.761640453547914,9.402648134601314,9.748854425749816,56721500.0
2010-04-23,24.75,24.82,24.41,24.55,26056800.0,0.0,1.0,9.737051938551572,9.764591075347475,9.603290416971468,9.658368690563275,26056800.0
2010-04-26,24.43,24.7899,24.19,24.56,21951200.0,0.0,1.0,9.611158741770298,9.752749246525235,9.516738844184344,9.66230285296269,21951200.0
2010-04-27,24.4,24.5,23.66,23.7725,26260100.0,0.0,1.0,9.599356254572053,9.638697878566202,9.30822823701536,9.352487564008777,26260100.0
